id,price,minimum_nights,maximum_nights,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
610,75.0,2,365,strict_14_with_grace_period,0,0
611,52.0,2,90,moderate,0,0
612,72.0,1,1124,strict_14_with_grace_period,0,0
613,29.0,1,1125,moderate,0,1
614,28.0,2,27,moderate,0,0
615,350.0,3,30,flexible,0,0
616,55.0,2,5,moderate,0,0
617,65.0,3,1125,strict_14_with_grace_period,0,0
618,59.0,1,1125,strict_14_with_grace_period,0,0
619,54.0,3,1125,flexible,0,0
620,45.0,3,1124,strict_14_with_grace_period,0,0
621,135.0,2,1125,strict_14_with_grace_period,0,0
622,28.0,60,180,moderate,0,1
623,70.0,3,90,strict_14_with_grace_period,0,0
624,75.0,2,90,strict_14_with_grace_period,0,0
625,59.0,4,365,moderate,1,0
626,75.0,2,90,moderate,0,0
627,39.0,1,12,moderate,0,0
628,25.0,2,8,moderate,0,0
